tool,rule_id,message,level,file,start_line,cwe
Semgrep OSS,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,"Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements.",info,/home/vboxuser/Diplomas/juice-shop-src/data/static/codefixes/dbSchemaChallenge_1.ts,5,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
Semgrep OSS,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,"Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements.",info,/home/vboxuser/Diplomas/juice-shop-src/data/static/codefixes/dbSchemaChallenge_3.ts,11,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
Semgrep OSS,javascript.audit.detect-replaceall-sanitization.detect-replaceall-sanitization,"Detected a call to `replaceAll()` in an attempt to HTML escape the string `tableData[i].description`. Manually sanitizing input through a manually built list can be circumvented in many situations, and it's better to use a well known sanitization library such as `sanitize-html` or `DOMPurify`.",info,/home/vboxuser/Diplomas/juice-shop-src/data/static/codefixes/restfulXssChallenge_2.ts,62,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
Semgrep OSS,javascript.audit.detect-replaceall-sanitization.detect-replaceall-sanitization,"Detected a call to `replaceAll()` in an attempt to HTML escape the string `tableData[i].description.replaceAll('<', '&lt;')`. Manually sanitizing input through a manually built list can be circumvented in many situations, and it's better to use a well known sanitization library such as `sanitize-html` or `DOMPurify`.",info,/home/vboxuser/Diplomas/juice-shop-src/data/static/codefixes/restfulXssChallenge_2.ts,62,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
Semgrep OSS,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,"Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements.",info,/home/vboxuser/Diplomas/juice-shop-src/data/static/codefixes/unionSqlInjectionChallenge_1.ts,6,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
Semgrep OSS,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,"Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements.",info,/home/vboxuser/Diplomas/juice-shop-src/data/static/codefixes/unionSqlInjectionChallenge_3.ts,10,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
Semgrep OSS,generic.secrets.security.detected-generic-secret.detected-generic-secret,Generic Secret detected,info,/home/vboxuser/Diplomas/juice-shop-src/data/static/users.yml,150,CWE-798: Use of Hard-coded Credentials
Semgrep OSS,generic.secrets.security.detected-jwt-token.detected-jwt-token,JWT token detected,info,/home/vboxuser/Diplomas/juice-shop-src/frontend/src/app/app.guard.spec.ts,38,CWE-321: Use of Hard-coded Cryptographic Key
Semgrep OSS,generic.secrets.security.detected-jwt-token.detected-jwt-token,JWT token detected,info,/home/vboxuser/Diplomas/juice-shop-src/frontend/src/app/last-login-ip/last-login-ip.component.spec.ts,61,CWE-321: Use of Hard-coded Cryptographic Key
Semgrep OSS,generic.secrets.security.detected-jwt-token.detected-jwt-token,JWT token detected,info,/home/vboxuser/Diplomas/juice-shop-src/frontend/src/app/last-login-ip/last-login-ip.component.spec.ts,67,CWE-321: Use of Hard-coded Cryptographic Key
