tool,rule_id,message,level,file,start_line,cwe,component_name,component_version,match_how
Semgrep OSS,php.lang.security.injection.tainted-filename.tainted-filename,File name based on user input risks server-side request forgery.,warning,/home/vboxuser/Diplomas/dvwa-src/instructions.php,26,CWE-918: Server-Side Request Forgery (SSRF);MEDIUM CONFIDENCE;OWASP-A10:2021 - Server-Side Request Forgery (SSRF);security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.phpinfo-use.phpinfo-use,The 'phpinfo' function may reveal sensitive information about your environment.,warning,/home/vboxuser/Diplomas/dvwa-src/phpinfo.php,8,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor;MEDIUM CONFIDENCE;OWASP-A01:2021 - Broken Access Control;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-exec.tainted-exec,User input is passed to a function that executes a shell command. This can lead to remote code execution.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/api/src/HealthController.php,88,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-sql-string.tainted-sql-string,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare(""INSERT INTO test(id, label) VALUES (?, ?)"");`) or a safe library.",warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/brute/source/low.php,12,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection');MEDIUM CONFIDENCE;OWASP-A01:2017 - Injection;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.echoed-request.echoed-request,`Echo`ing user input risks cross-site scripting vulnerability. You should use `htmlentities()` when showing data to users.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/csp/source/jsonp.php,12,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;OWASP-A07:2017 - Cross-Site Scripting (XSS);security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-exec.tainted-exec,User input is passed to a function that executes a shell command. This can lead to remote code execution.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/high.php,26,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.tainted-exec.tainted-exec,Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/high.php,26,CWE-94: Improper Control of Generation of Code ('Code Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-exec.tainted-exec,User input is passed to a function that executes a shell command. This can lead to remote code execution.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/high.php,30,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.tainted-exec.tainted-exec,Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/high.php,30,CWE-94: Improper Control of Generation of Code ('Code Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-exec.tainted-exec,User input is passed to a function that executes a shell command. This can lead to remote code execution.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/impossible.php,22,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
