component,count
php7.0-cli,53
libapache2-mod-php7.0,53
php7.0-xml,53
php7.0-readline,53
php7.0-pgsql,53
php7.0-opcache,53
php7.0-mysql,53
php7.0-json,53
php7.0-gd,53
php7.0-common,53
php7.0,53
mariadb-server,50
mariadb-common,50
mariadb-client-core-10.1,50
mariadb-client-10.1,50
libmariadbclient18,50
mariadb-server-10.1,50
mariadb-server-core-10.1,50
apache2-bin,33
apache2-utils,33
apache2-data,33
apache2,33
libtiff5,25
libxml2,19
libldap-common,18
libldap-2.4-2,18
libudev1,17
libsystemd0,17
libssl1.1,16
libexpat1,16
libsqlite3-0,16
openssl,16
libssl1.0.2,15
libpq5,12
libwebp6,11
libgd3,9
libc-bin,9
libc6,9
libelf1,9
multiarch-support,9
perl-modules-5.24,8
perl-base,8
libperl5.24,8
perl,8
libkrb5support0,7
libk5crypto3,7
krb5-locales,7
libkrb5-3,7
libgssapi-krb5-2,7
libgnutls30,7
tzdata,6
libx11-data,6
libx11-6,6
libjpeg62-turbo,5
rsync,5
php-pear,5
libncursesw5,4
libnghttp2-14,4
libdbi-perl,4
ncurses-bin,4
libncurses5,4
libtinfo5,4
ncurses-base,4
libfreetype6,4
libxslt1.1,4
libsepol1,4
passwd,3
login,3
libss2,3
libnettle6,3
libgcrypt20,3
libmagic-mgc,3
file,3
inetutils-ping,3
e2fsprogs,3
e2fslibs,3
libapt-pkg5.0,3
libcomerr2,3
libhogweed4,3
apt,3
gpgv,3
libmagic1,3
libuuid1,2
libdbd-mysql-perl,2
libsasl2-modules,2
libsasl2-2,2
libpng16-16,2
libblkid1,2
libsmartcols1,2
mount,2
util-linux,2
libp11-kit0,2
libfdisk1,2
bsdutils,2
libmount1,2
libicu57,2
liblz4-1,2
libsasl2-modules-db,2
bzip2,1
gcc-6-base,1
coreutils,1
tar,1
xz-utils,1
debian-archive-keyring,1
dpkg,1
zlib1g,1
libbz2-1.0,1
gzip,1
libapr1,1
libaprutil1,1
libaprutil1-dbd-sqlite3,1
libaprutil1-ldap,1
libbsd0,1
libdb5.3,1
libgcc1,1
libgmp10,1
libidn11,1
liblzma5,1
libstdc++6,1
libpcre3,1
ssl-cert,1
