cve,count
CVE-2019-18218,14
CVE-2019-11038,12
CVE-2017-8923,11
CVE-2018-19518,11
CVE-2019-9675,11
CVE-2019-9640,11
CVE-2019-9639,11
CVE-2019-9638,11
CVE-2019-9637,11
CVE-2019-9024,11
CVE-2019-9022,11
CVE-2019-11042,11
CVE-2019-11041,11
CVE-2018-20783,11
CVE-2018-19935,11
CVE-2018-14883,11
CVE-2019-11035,11
CVE-2017-7272,11
CVE-2017-7189,11
CVE-2020-7060,11
CVE-2020-7059,11
CVE-2019-9641,11
CVE-2019-9023,11
CVE-2019-9021,11
CVE-2019-9020,11
CVE-2019-13224,11
CVE-2019-11043,11
CVE-2019-11040,11
CVE-2019-11039,11
CVE-2019-11036,11
CVE-2020-7062,11
CVE-2020-7067,11
CVE-2021-21702,11
CVE-2019-11050,11
CVE-2020-7068,11
CVE-2021-21707,11
CVE-2021-21705,11
CVE-2021-21704,11
CVE-2020-7071,11
CVE-2021-21703,11
CVE-2020-7066,11
CVE-2020-7064,11
CVE-2020-7063,11
CVE-2020-7070,11
CVE-2019-11048,11
CVE-2018-14851,11
CVE-2019-11047,11
CVE-2022-31625,11
CVE-2022-31626,11
CVE-2019-11034,11
CVE-2018-17082,11
CVE-2019-11045,11
CVE-2019-11046,11
CVE-2021-37600,8
CVE-2016-2779,8
CVE-2018-2640,7
CVE-2018-2622,7
CVE-2018-2612,7
CVE-2017-10378,7
CVE-2017-10268,7
CVE-2021-27928,7
CVE-2018-3064,7
CVE-2018-2562,7
CVE-2018-2665,7
CVE-2018-2755,7
CVE-2020-15180,7
CVE-2019-2805,7
CVE-2018-3251,7
CVE-2018-3282,7
CVE-2019-2503,7
CVE-2019-2529,7
CVE-2019-2537,7
CVE-2019-2627,7
CVE-2019-2737,7
CVE-2019-2739,7
CVE-2019-2740,7
CVE-2019-2974,7
CVE-2018-3156,7
CVE-2020-14765,7
CVE-2020-14812,7
CVE-2020-2574,7
CVE-2020-2752,7
CVE-2020-2812,7
CVE-2020-2814,7
CVE-2021-2022,7
CVE-2018-2767,7
CVE-2018-3066,7
CVE-2018-3174,7
CVE-2019-2614,7
CVE-2018-3143,7
CVE-2018-2784,7
CVE-2018-3081,7
CVE-2018-2668,7
CVE-2018-2761,7
CVE-2018-2766,7
CVE-2018-2771,7
CVE-2018-2781,7
CVE-2018-2782,7
CVE-2017-15365,7
CVE-2018-2787,7
CVE-2018-2817,7
CVE-2018-2819,7
CVE-2018-3058,7
CVE-2018-2813,7
CVE-2018-3063,7
CVE-2017-11462,5
CVE-2019-17595,5
CVE-2019-17594,5
CVE-2022-29458,5
CVE-2018-19211,5
CVE-2021-37750,5
CVE-2018-5729,5
CVE-2018-20217,5
CVE-2020-28196,5
CVE-2018-5730,5
CVE-2018-5710,5
CVE-2018-18311,4
CVE-2018-18312,4
CVE-2018-18313,4
CVE-2018-18314,4
CVE-2020-10543,4
CVE-2020-10878,4
CVE-2020-12723,4
CVE-2021-26691,4
CVE-2020-16156,4
CVE-2019-10082,4
